id_procedimento,id_animal,carimbo_ts,data_do_procedimento,nome_do_profissional,tipo_de_evento,categoria_medicamento,nome_medicamento,categoria_vacina,nome_vacina,nome_cirurgia_realizada
97a98ed4,d28457b7,12/05/2026 14:51:14,12/05/2026,Aelton,Consulta Veterinária,,,,,
9c06da8e,d28457b7,27/05/2026 11:28:30,27/05/2026,Aelton,Vacina,,,Respiratória,Vacina Gripe Canina (Bordetella),
088f46df,6dd6b363,03/05/2026 18:00:11,03/05/2026,Michelly,Medicamento,Anti-inflamatórios / Analgésico,Meloxicam,,,
e3cc22fb,6dd6b363,30/05/2026 13:07:36,30/05/2026,Michelly,Cirurgia,,,,,Remoção de Nódulo
7a5dd73f,6dd6b363,12/05/2026 11:42:35,12/05/2026,Michelly,Vacina,,,Marek,Vacina Doença de Marek,
749b654c,0e080101,10/05/2026 14:31:47,10/05/2026,Aelton,Consulta Veterinária,,,,,
9f85290a,0e080101,25/05/2026 08:14:46,25/05/2026,Aelton,Vacina,,,Reprodutiva,Vacina Específica,
23122b3e,1e9bb41f,01/10/2025 11:11:27,01/10/2025,Aelton,Vacina,,,Reprodutiva,Vacina Específica,
d07ff603,1e9bb41f,31/10/2025 18:57:39,31/10/2025,Aelton,Medicamento,Anti-inflamatórios / Analgésico,Meloxicam,,,
09c4c91f,b9cdaaff,17/04/2026 17:29:17,17/04/2026,Bruno,Medicamento,Antialérgico,Apoquel,,,
4c5ab55f,b9cdaaff,05/06/2026 17:28:28,05/06/2026,Bruno,Castração,,,,,Castração Eletiva
79358a81,137c0a5d,28/09/2025 12:12:21,28/09/2025,Michelly,Vacina,,,Newcastle,Vacina Newcastle,
8e31a42e,137c0a5d,13/07/2025 10:08:49,13/07/2025,Michelly,Medicamento,Antifúngico,Itraconazol,,,
6f6e0767,137c0a5d,15/10/2025 10:12:20,15/10/2025,Michelly,Vacina,,,Rinotraqueíte,Vacina Rinotraqueíte,
aa757227,137c0a5d,03/10/2025 17:39:57,03/10/2025,Michelly,Vacina,,,Rinotraqueíte,Vacina Rinotraqueíte,
cf86a198,65788c3b,08/06/2026 08:48:19,08/06/2026,Aelton,Castração,,,,,Castração Eletiva
0f3d0f74,65788c3b,04/02/2026 16:12:37,04/02/2026,Aelton,Vacina,,,Tétano,Soro Antitetânico,
1771ace5,65788c3b,16/02/2026 13:40:12,16/02/2026,Aelton,Castração,,,,,Castração Eletiva
3821aefb,65788c3b,27/09/2025 11:31:04,27/09/2025,Aelton,Medicamento,Dermatológico,Shampoo Clorexidina,,,
cda49627,0f4acc60,05/06/2026 13:06:36,05/06/2026,Victor,Consulta Veterinária,,,,,
54ecab11,35d4d299,06/05/2026 08:02:45,06/05/2026,Bruno,Consulta Veterinária,,,,,
2f89b06a,2df89e16,04/07/2025 10:52:30,04/07/2025,Michelly,Medicamento,Oftálmico,Pomada Oftálmica,,,
04f92340,2df89e16,12/03/2026 18:26:08,12/03/2026,Michelly,Castração,,,,,Castração Eletiva
d4c2f9f0,2df89e16,24/03/2026 17:57:06,24/03/2026,Michelly,Consulta Veterinária,,,,,
3cb381c4,8bc5e5bf,27/05/2026 10:12:14,27/05/2026,Michelly,Castração,,,,,Castração Eletiva
063bda8b,8bc5e5bf,24/04/2026 12:11:53,24/04/2026,Michelly,Medicamento,Antiviral,Aciclovir,,,
864d7fe4,8bc5e5bf,29/04/2026 11:49:18,29/04/2026,Michelly,Castração,,,,,Castração Eletiva
e752d533,8bc5e5bf,13/06/2026 15:20:15,13/06/2026,Michelly,Vacina,,,Rinotraqueíte,Vacina Rinotraqueíte,
19919ee6,e9dfdd44,11/06/2026 16:50:12,11/06/2026,Michelly,Cirurgia,,,,,Castração Emergencial
8ba77d11,e9dfdd44,01/06/2026 10:34:14,01/06/2026,Michelly,Cirurgia,,,,,Ortopedia
